valid_time,latitude,longitude,number,expver,u10
2002-03-11 22:00:00,-21.5,-44.5,0,0001,-0.11592102
2002-03-11 22:00:00,-21.5,-44.25,0,0001,-1.0739288
2002-03-11 22:00:00,-21.5,-44.0,0,0001,-1.9743195
2002-03-11 22:00:00,-21.5,-43.75,0,0001,-2.5084991
2002-03-11 22:00:00,-21.5,-43.5,0,0001,-2.654007
2002-03-11 22:00:00,-21.5,-43.25,0,0001,-1.9850616
2002-03-11 22:00:00,-21.5,-43.0,0,0001,-2.145218
2002-03-11 22:00:00,-21.75,-48.0,0,0001,-2.0485382
2002-03-11 22:00:00,-21.75,-47.75,0,0001,-1.8083038
2002-03-11 22:00:00,-21.75,-47.5,0,0001,-1.6647491
2002-03-11 22:00:00,-21.75,-47.25,0,0001,-1.647171
2002-03-11 22:00:00,-21.75,-47.0,0,0001,-1.4586945
2002-03-11 22:00:00,-21.75,-46.75,0,0001,-0.9967804
2002-03-11 22:00:00,-21.75,-46.5,0,0001,-1.2526398
2002-03-11 22:00:00,-21.75,-46.25,0,0001,-1.435257
2002-03-11 22:00:00,-21.75,-46.0,0,0001,-1.0172882
2002-03-11 22:00:00,-21.75,-45.75,0,0001,-0.92256165
2002-03-11 22:00:00,-21.75,-45.5,0,0001,-1.2301788
2002-03-11 22:00:00,-21.75,-45.25,0,0001,-1.3991241
2002-03-11 22:00:00,-21.75,-45.0,0,0001,-0.79267883
2002-03-11 22:00:00,-21.75,-44.75,0,0001,0.5217743
2002-03-11 22:00:00,-21.75,-44.5,0,0001,1.0188446
2002-03-11 22:00:00,-21.75,-44.25,0,0001,-0.49189758
2002-03-11 22:00:00,-21.75,-44.0,0,0001,-1.8834991
2002-03-11 22:00:00,-21.75,-43.75,0,0001,-2.669632
2002-03-11 22:00:00,-21.75,-43.5,0,0001,-2.6969757
2002-03-11 22:00:00,-21.75,-43.25,0,0001,-2.1520538
2002-03-11 22:00:00,-21.75,-43.0,0,0001,-1.9469757
2002-03-11 22:00:00,-22.0,-48.0,0,0001,-1.5924835
2002-03-11 22:00:00,-22.0,-47.75,0,0001,-1.5543976
2002-03-11 22:00:00,-22.0,-47.5,0,0001,-1.6198273
2002-03-11 22:00:00,-22.0,-47.25,0,0001,-1.5231476
2002-03-11 22:00:00,-22.0,-47.0,0,0001,-1.319046
2002-03-11 22:00:00,-22.0,-46.75,0,0001,-1.1295929
2002-03-11 22:00:00,-22.0,-46.5,0,0001,-1.5006866
2002-03-11 22:00:00,-22.0,-46.25,0,0001,-1.2428741
2002-03-11 22:00:00,-22.0,-46.0,0,0001,-1.1501007
2002-03-11 22:00:00,-22.0,-45.75,0,0001,-0.2594757
2002-03-11 22:00:00,-22.0,-45.5,0,0001,-0.27314758
2002-03-11 22:00:00,-22.0,-45.25,0,0001,-0.53486633
2002-03-11 22:00:00,-22.0,-45.0,0,0001,-0.0065460205
2002-03-11 22:00:00,-22.0,-44.75,0,0001,0.15068054
2002-03-11 22:00:00,-22.0,-44.5,0,0001,-0.38056946
2002-03-11 22:00:00,-22.0,-44.25,0,0001,-1.1686554
2002-03-11 22:00:00,-22.0,-44.0,0,0001,-2.077835
2002-03-11 22:00:00,-22.0,-43.75,0,0001,-2.732132
2002-03-11 22:00:00,-22.0,-43.5,0,0001,-2.350296
2002-03-11 22:00:00,-22.0,-43.25,0,0001,-1.8590851
2002-03-11 22:00:00,-22.0,-43.0,0,0001,-1.2282257
2002-03-11 22:00:00,-22.25,-48.0,0,0001,-1.4098663
2002-03-11 22:00:00,-22.25,-47.75,0,0001,-1.872757
2002-03-11 22:00:00,-22.25,-47.5,0,0001,-1.7555695
2002-03-11 22:00:00,-22.25,-47.25,0,0001,-1.6647491
2002-03-11 22:00:00,-22.25,-47.0,0,0001,-1.4997101
2002-03-11 22:00:00,-22.25,-46.75,0,0001,-1.1706085
2002-03-11 22:00:00,-22.25,-46.5,0,0001,-1.1901398
2002-03-11 22:00:00,-22.25,-46.25,0,0001,-1.5583038
2002-03-11 22:00:00,-22.25,-46.0,0,0001,-1.3463898
2002-03-11 22:00:00,-22.25,-45.75,0,0001,-0.11299133
2002-03-11 22:00:00,-22.25,-45.5,0,0001,0.7893524
2002-03-11 22:00:00,-22.25,-45.25,0,0001,0.55888367
2002-03-11 22:00:00,-22.25,-45.0,0,0001,-0.2672882
2002-03-11 22:00:00,-22.25,-44.75,0,0001,-0.8854523
2002-03-11 22:00:00,-22.25,-44.5,0,0001,-1.4401398
2002-03-11 22:00:00,-22.25,-44.25,0,0001,-1.7643585
2002-03-11 22:00:00,-22.25,-44.0,0,0001,-2.5270538
2002-03-11 22:00:00,-22.25,-43.75,0,0001,-2.46846
2002-03-11 22:00:00,-22.25,-43.5,0,0001,-1.9538116
2002-03-11 22:00:00,-22.25,-43.25,0,0001,-1.4157257
2002-03-11 22:00:00,-22.25,-43.0,0,0001,-0.7838898
2002-03-11 22:00:00,-22.5,-48.0,0,0001,-1.4411163
2002-03-11 22:00:00,-22.5,-47.75,0,0001,-1.8151398
2002-03-11 22:00:00,-22.5,-47.5,0,0001,-1.6364288
2002-03-11 22:00:00,-22.5,-47.25,0,0001,-1.5075226
2002-03-11 22:00:00,-22.5,-47.0,0,0001,-1.2731476
2002-03-11 22:00:00,-22.5,-46.75,0,0001,-0.98799133
