valid_time,latitude,longitude,stl1,stl2,lblt,number,expver
2002-03-11 00:00:00,-20.5,-43.75,294.938,295.70776,295.60034,0,0001
2002-03-11 00:00:00,-20.5,-43.5,295.58447,296.06323,294.36597,0,0001
2002-03-11 00:00:00,-20.5,-43.25,297.33447,297.39722,294.08667,0,0001
2002-03-11 00:00:00,-20.5,-43.0,298.2583,298.02026,292.96997,0,0001
2002-03-11 00:00:00,-20.75,-48.0,300.48486,300.2683,297.49536,0,0001
2002-03-11 00:00:00,-20.75,-47.75,299.7661,299.59058,292.54956,0,0001
2002-03-11 00:00:00,-20.75,-47.5,299.0083,299.0398,292.87183,0,0001
2002-03-11 00:00:00,-20.75,-47.25,298.33643,298.58472,291.41333,0,0001
2002-03-11 00:00:00,-20.75,-47.0,298.34033,298.67065,292.9807,0,0001
2002-03-11 00:00:00,-20.75,-46.75,297.99072,298.65308,293.75073,0,0001
2002-03-11 00:00:00,-20.75,-46.5,297.73682,298.5105,294.3933,0,0001
2002-03-11 00:00:00,-20.75,-46.25,297.68604,298.48706,296.75854,0,0001
2002-03-11 00:00:00,-20.75,-46.0,297.5337,298.38745,296.37915,0,0001
2002-03-11 00:00:00,-20.75,-45.75,297.5005,298.2605,296.08325,0,0001
2002-03-11 00:00:00,-20.75,-45.5,297.53174,298.16284,294.1267,0,0001
2002-03-11 00:00:00,-20.75,-45.25,297.05127,297.55542,295.7439,0,0001
2002-03-11 00:00:00,-20.75,-45.0,296.50635,297.25464,292.28247,0,0001
2002-03-11 00:00:00,-20.75,-44.75,296.33252,296.91284,290.62134,0,0001
2002-03-11 00:00:00,-20.75,-44.5,296.07275,296.5398,290.24194,0,0001
2002-03-11 00:00:00,-20.75,-44.25,295.8911,296.31714,294.01,0,0001
2002-03-11 00:00:00,-20.75,-44.0,295.65674,296.14136,293.96606,0,0001
2002-03-11 00:00:00,-20.75,-43.75,295.82666,296.20776,294.13794,0,0001
2002-03-11 00:00:00,-20.75,-43.5,296.72314,296.79956,293.32495,0,0001
2002-03-11 00:00:00,-20.75,-43.25,297.7837,297.4441,292.57935,0,0001
2002-03-11 00:00:00,-20.75,-43.0,298.2798,297.79956,294.26,0,0001
2002-03-11 00:00:00,-21.0,-48.0,300.5415,300.35425,298.8894,0,0001
2002-03-11 00:00:00,-21.0,-47.75,299.85986,299.77808,294.6306,0,0001
2002-03-11 00:00:00,-21.0,-47.5,299.15283,299.25464,293.31372,0,0001
2002-03-11 00:00:00,-21.0,-47.25,298.438,298.71948,291.97974,0,0001
2002-03-11 00:00:00,-21.0,-47.0,297.70166,298.22144,292.48022,0,0001
2002-03-11 00:00:00,-21.0,-46.75,297.10596,297.87378,292.83862,0,0001
2002-03-11 00:00:00,-21.0,-46.5,297.16455,298.01245,291.3235,0,0001
2002-03-11 00:00:00,-21.0,-46.25,297.51025,298.36206,296.10815,0,0001
2002-03-11 00:00:00,-21.0,-46.0,297.6001,298.44995,295.98608,0,0001
2002-03-11 00:00:00,-21.0,-45.75,297.57666,298.30542,295.77612,0,0001
2002-03-11 00:00:00,-21.0,-45.5,297.2622,298.04565,296.00806,0,0001
2002-03-11 00:00:00,-21.0,-45.25,296.94385,297.82495,295.84253,0,0001
2002-03-11 00:00:00,-21.0,-45.0,296.86182,297.62964,295.6765,0,0001
